,term_begin_date,course_title,percentage_pass,total_count
3423,2019-01-14,Directed Readings in Marketing,100.0,7
3424,2019-01-14,Directed Studies,100.0,1
3425,2019-01-14,Directed Study,100.0,9
3426,2019-01-14,Directing I,100.0,13
3427,2019-01-14,Disability in American History,98.30508474576271,59
3428,2019-01-14,Discovery I: Introduction and Background,100.0,97
3429,2019-01-14,Discrete Mathematical Models,91.42857142857143,35
3430,2019-01-14,Discrete Structures,82.48587570621469,177
3431,2019-01-14,Dissertation,100.0,3
3432,2019-01-14,Dissertation Research,100.0,2
3433,2019-01-14,Diversity & Exceptionalities in Lit Inst,100.0,56
3434,2019-01-14,Diversity and Equity in Higher Education,100.0,9
3435,2019-01-14,Diversity and Identity in K-12 Schools,100.0,10
3436,2019-01-14,Diversity and Power in the US,94.28571428571428,70
3437,2019-01-14,Diversity in American Culture,100.0,36
3438,2019-01-14,Diversity in History,93.83561643835617,146
3439,2019-01-14,Diversity of Form and Function,94.02985074626866,335
3440,2019-01-14,Diversity/Inclusion in Healthy Living,93.07359307359307,231
3441,2019-01-14,Doing Business in Latin America,100.0,15
3442,2019-01-14,Drama in the Classroom,100.0,29
3443,2019-01-14,Dramaturgy Practicum,100.0,3
3444,2019-01-14,Drug Delivery Devices,100.0,16
3445,2019-01-14,Drug Disposition and Pharmacokinetics,100.0,4
3446,2019-01-14,Drug Mechanisms and Actions,100.0,6
3447,2019-01-14,Drugs and Society,93.93939393939394,66
3448,2019-01-14,"Drugs, Deviance, and Social Control",95.0,40
3449,2019-01-14,"Drugs: Their Nature, Action, and Use",100.0,15
3450,2019-01-14,Drumline Techniques,100.0,13
3451,2019-01-14,Dynamic Models of International Politics,100.0,7
3452,2019-01-14,Dynamics,93.86503067484662,163
3453,2019-01-14,Dynamics of Negotiations,98.28571428571429,175
3454,2019-01-14,E-Commerce Strategies for Entrepreneurs,100.0,38
3455,2019-01-14,EKG and Vascular Ultrasound,0.0,14
3456,2019-01-14,ESL Academic Listening Skills,91.57894736842105,95
3457,2019-01-14,ESL Academic Oral Skills,93.93939393939394,99
3458,2019-01-14,ESL Academic Reading Skills,93.90243902439023,82
3459,2019-01-14,ESL Academic Writing,92.1875,64
3460,2019-01-14,ESL Grammar,89.13043478260869,92
3461,2019-01-14,ESL Practicum I,100.0,13
3462,2019-01-14,ESL Special Topics,81.875,160
3463,2019-01-14,ESL Writing Skills for Graduate Students,96.15384615384616,26
3464,2019-01-14,ESL: Transitional Listening,84.61538461538461,13
3465,2019-01-14,ESL: Transitional Reading,77.77777777777779,9
3466,2019-01-14,Early Adolescent Development,100.0,13
3467,2019-01-14,Eating Disorders,0.0,6
3468,2019-01-14,Econometric Analysis,95.0,20
3469,2019-01-14,Econometrics,100.0,7
3470,2019-01-14,Economic Development Policy,100.0,4
3471,2019-01-14,"Education, Schools, and Society",95.0,40
3472,2019-01-14,Educational Psychology,100.0,11
3473,2019-01-14,Educational Psychology and Measurement,97.19101123595506,178
3474,2019-01-14,Elder Law,100.0,13
3475,2019-01-14,Elective Academic Rotation,0.0,1
3476,2019-01-14,Elective Ambulatory Care Rotation,0.0,6
3477,2019-01-14,Elective Critical Care Medicine Rotation,0.0,3
3478,2019-01-14,Elective Drug Information Rotation,0.0,1
3479,2019-01-14,Elective Hospital Management Rotation,0.0,2
3480,2019-01-14,Elective Infectious Disease Rotation,0.0,4
3481,2019-01-14,Elective Long Term Care Rotation,0.0,1
3482,2019-01-14,Elective Managed Care Rotation,0.0,1
3483,2019-01-14,Elective Medication Use Eval Rotation,0.0,1
3484,2019-01-14,Elective Pediatrics Rotation,0.0,2
3485,2019-01-14,Elective Psychiatry Rotation,0.0,3
3486,2019-01-14,Elective Veterinary Pharmacy Rotation,0.0,1
3487,2019-01-14,Elective in External Eye Disease,0.0,3
3488,2019-01-14,Elective in Neuro-Ophthalmology,0.0,2
3489,2019-01-14,Electric Power Systems,100.0,25
3490,2019-01-14,Electricity and Magnetism II,91.30434782608695,23
3491,2019-01-14,Electro Optics,95.0,20
3492,2019-01-14,Electrocardiogram & Hemodynamics,100.0,26
3493,2019-01-14,Electrochemistry,100.0,25
3494,2019-01-14,Electronic Objects and Spaces,100.0,12
3495,2019-01-14,Electronic Structure & Informatics Chem,92.85714285714286,14
3496,2019-01-14,Electronics,76.92307692307693,13
3497,2019-01-14,Elementary Classroom Management,98.50746268656717,67
3498,2019-01-14,Elementary French I,87.87878787878788,33
3499,2019-01-14,Elementary French II,92.5925925925926,81
3500,2019-01-14,Elementary Functions,90.0,50
3501,2019-01-14,Elementary German I,91.83673469387756,49
3502,2019-01-14,Elementary German II,83.72093023255815,86
3503,2019-01-14,Elementary Italian II,88.63636363636364,88
3504,2019-01-14,Elementary Latin I,94.73684210526315,19
3505,2019-01-14,Elementary Latin II,93.75,32
3506,2019-01-14,Elementary Modern Standard Arabic II,100.0,26
3507,2019-01-14,Elementary Numerical Analysis,88.0,125
3508,2019-01-14,Elementary Particles and Nuclear Physics,100.0,2
3509,2019-01-14,Elementary Portuguese II,91.66666666666666,12
3510,2019-01-14,Elementary Psychology,92.23140495867769,605
3511,2019-01-14,Elementary Science Methods I,100.0,65
3512,2019-01-14,Elementary Science Methods II,98.48484848484848,66
3513,2019-01-14,Elementary Spanish I,84.61538461538461,130
3514,2019-01-14,Elementary Spanish II,89.37007874015748,254
3515,2019-01-14,Elementary Spanish Review,86.66666666666667,15
3516,2019-01-14,Elementary Statistics and Inference,89.70099667774086,301
3517,2019-01-14,Elementary Swahili II,100.0,109
3518,2019-01-14,Elements of 3-D Design,100.0,17
3519,2019-01-14,Elements of Art,97.5609756097561,123
3520,2019-01-14,Elements of Book Art,100.0,8
3521,2019-01-14,Elements of Design,90.9090909090909,11
3522,2019-01-14,Elements of Digital Photography,98.0,100
3523,2019-01-14,Elements of Graphic Design,98.36065573770492,61
3524,2019-01-14,Elements of Jewelry and Metal Arts,97.2972972972973,37
3525,2019-01-14,Elements of Letterpress,100.0,8
3526,2019-01-14,Elements of Printmaking,92.0,25
3527,2019-01-14,Elements of Sculpture,91.30434782608695,23
3528,2019-01-14,Embedded Systems,90.9090909090909,88
3529,2019-01-14,Emergency Med: St Lukes Cedar Rapids,0.0,5
3530,2019-01-14,Emergency Medicine Des Moines,0.0,1
3531,2019-01-14,Emergency Medicine Off Campus,0.0,12
3532,2019-01-14,Emergency Medicine On Campus,0.0,1
3533,2019-01-14,Emergency Medicine UIHC,0.0,26
3534,2019-01-14,Emergency Medicine Waterloo,0.0,2
3535,2019-01-14,Emergency Medicine and Toxicology,100.0,27
3536,2019-01-14,Emergency Psychiatry,0.0,7
3537,2019-01-14,Emergency Room Blank Children's Hospital,0.0,2
3538,2019-01-14,Emotional Intelligence Hlth Care Prof,100.0,12
3539,2019-01-14,Employment Law,96.66666666666667,30
3540,2019-01-14,End of Life Care for Adults & Families,93.93939393939394,33
3541,2019-01-14,Endodontic Literature Review II,100.0,3
3542,2019-01-14,Endodontic Literature Review IV,100.0,5
3543,2019-01-14,Endodontic Surgery Conference,100.0,8
3544,2019-01-14,Endodontics Preclinical Didactic,96.1038961038961,77
3545,2019-01-14,Endodontics Preclinical Laboratory,100.0,77
3546,2019-01-14,Energy Metabolism in Health and Disease,95.0,20
3547,2019-01-14,Engaging in Global Health,98.0,50
3548,2019-01-14,Engineer Math I Single Variable Calculus,80.32786885245902,61
3549,2019-01-14,Engineer Math II: Multivariable Calculus,77.13414634146342,328
3550,2019-01-14,Engineer Math IV: Differential Equations,90.2654867256637,113
3551,2019-01-14,Engineering Design Optimization,95.74468085106383,47
3552,2019-01-14,Engineering Economy,95.14563106796116,103
3553,2019-01-14,Engineering Fundamentals I: Statics,86.41304347826086,184
3554,2019-01-14,Engineering Math III: Matrix Algebra,91.78743961352657,414
3555,2019-01-14,Engineering Math V: Vector Calculus,92.40506329113924,79
3556,2019-01-14,Engineering Service Project,100.0,6
3557,2019-01-14,English Grammar,88.88888888888889,18
3558,2019-01-14,Engr Fund II: Electrical Circuits,90.66666666666666,150
3559,2019-01-14,Engr Fund III: Thermodynamics,89.1566265060241,166
3560,2019-01-14,Enhanced Design Experience,100.0,26
3561,2019-01-14,Entertainment Media,100.0,25
3562,2019-01-14,Entrepren: Advanced Business Planning,94.87179487179486,78
3563,2019-01-14,Entrepreneurial Finance,98.13953488372093,215
3564,2019-01-14,Entrepreneurial Marketing,98.01324503311258,302
3565,2019-01-14,Entrepreneurial Strategy,100.0,33
3566,2019-01-14,Entrepreneurship and Global Trade,100.0,15
3567,2019-01-14,Entrepreneurship and Innovation,95.0,460
3568,2019-01-14,Entrepreneurship: Business Consulting,100.0,212
3569,2019-01-14,Environment and Development,100.0,6
3570,2019-01-14,"Environment, Energy, and Climate Change",90.9090909090909,11
3571,2019-01-14,Environmental Conservation,93.93939393939394,33
3572,2019-01-14,Environmental Economics and Policy,82.6086956521739,23
3573,2019-01-14,Environmental Exercise Physiology,92.85714285714286,14
3574,2019-01-14,Environmental Impact Analysis,100.0,14
3575,2019-01-14,Environmental Policy,100.0,10
3576,2019-01-14,Environmental and Spatial Statistics,100.0,9
3577,2019-01-14,Epidemiology I: Principles,95.83333333333334,24
3578,2019-01-14,Epidemiology II: Advanced Methods,100.0,18
3579,2019-01-14,Ergonomics,100.0,37
3580,2019-01-14,Ergonomics of Occupational Injuries,100.0,35
3581,2019-01-14,Ethics in Human Relations & Counseling,96.7032967032967,91
3582,2019-01-14,Ethics in Sport,95.74468085106383,47
3583,2019-01-14,"Ethics, Politics, and Global Health",88.23529411764706,17
3584,2019-01-14,Ethnic and Cultural Issues & Giftedness,100.0,1
3585,2019-01-14,Europe Since 1945,96.42857142857143,28
3586,2019-01-14,European Papermaking History & Technique,100.0,10
3587,2019-01-14,Evaluating Evidence for Practice,100.0,22
3588,2019-01-14,Event Planning Workshop,100.0,56
3589,2019-01-14,Evidence,100.0,76
3590,2019-01-14,Evidence-Based Practice in LIS,100.0,16
3591,2019-01-14,Evolution,95.65217391304348,69
3592,2019-01-14,Evolution and the History of Life,81.53846153846153,65
3593,2019-01-14,Evolution of USAF Air and Space Power II,100.0,10
3594,2019-01-14,Evolution of the Vertebrates,100.0,30
3595,2019-01-14,Exhibition Planning,100.0,21
3596,2019-01-14,Experimental Biochemistry,100.0,49
3597,2019-01-14,Experimental Design and Analysis,97.91666666666666,48
3598,2019-01-14,Experimental Engineering,100.0,80
3599,2019-01-14,Experimental Naval Hydrodynamics,100.0,5
3600,2019-01-14,Exploration of the Solar System,95.32710280373831,107
3601,2019-01-14,Exploring Forms in Clay I,100.0,66
3602,2019-01-14,Exploring Thrown Forms in Clay II,100.0,27
3603,2019-01-14,Fabrication & Design: Hand-Built Bicycle,100.0,10
3604,2019-01-14,Faculty/Graduate Concert,100.0,40
3605,2019-01-14,"Fakes, Frauds, and Forgeries",90.47619047619048,21
3606,2019-01-14,Family Centered Theory and Practice II,100.0,60
3607,2019-01-14,Family Communication,100.0,25
3608,2019-01-14,Family Medicine Clerkship Broadlawns,0.0,1
3609,2019-01-14,"Family Medicine Clerkship, Davenport",0.0,1
3610,2019-01-14,Family Medicine Off Campus,0.0,1
3611,2019-01-14,"Family Medicine, Ames Student Health",0.0,1
3612,2019-01-14,"Family Medicine, Mason City",0.0,1
3613,2019-01-14,Family Medicine/Psychiatry Elective,0.0,1
3614,2019-01-14,Family Planning,0.0,5
3615,2019-01-14,Family Violence,100.0,28
3616,2019-01-14,Fast Fixes: Improved Writing in 6 Weeks,86.5546218487395,119
3617,2019-01-14,Federal Indian Law,100.0,8
3618,2019-01-14,Fiction Writing,98.09523809523809,105
3619,2019-01-14,Field Experience Seminar,100.0,35
3620,2019-01-14,Field Experiences in Public Health,100.0,13
3621,2019-01-14,Field Methods in Physical Geography,80.0,10
3622,2019-01-14,Field Placement,100.0,22
3623,2019-01-14,Field Placement: Judicial,100.0,7
3624,2019-01-14,Field Problems in Planning II,100.0,17
3625,2019-01-14,Field Studies in Marketing,100.0,10
3626,2019-01-14,Fieldwork in Social Innovation,100.0,9
3627,2019-01-14,Film Club,0.0,3
3628,2019-01-14,Film/Video Production: Alternative Forms,100.0,14
3629,2019-01-14,Film/Video Production: Fiction,86.66666666666667,15
3630,2019-01-14,Film/Video Production: Film Festival,100.0,15
3631,2019-01-14,Film/Video Production: Nonfiction,100.0,14
3632,2019-01-14,Film/Video Production: Sound Design,93.33333333333333,15
3633,2019-01-14,Finance Theory I,100.0,5
3634,2019-01-14,Finance Theory II,100.0,4
3635,2019-01-14,Finance in Sport and Recreation,96.05263157894737,76
3636,2019-01-14,Financial Accounting and Reporting,99.02912621359224,206
3637,2019-01-14,Financial Acct Standards and Analysis,100.0,6
3638,2019-01-14,Financial Engineering and Optimization,100.0,8
3639,2019-01-14,Financial Modeling and Firm Valuation,100.0,38
3640,2019-01-14,Financial Statement Analysis,100.0,25
3641,2019-01-14,Finding Comfort Zone: Secrets to Success,100.0,5
3642,2019-01-14,Finite Element I,95.23809523809523,21
3643,2019-01-14,First-Year Chinese: Second Semester,100.0,39
3644,2019-01-14,First-Year Forum,0.0,3
3645,2019-01-14,First-Year French Review,81.81818181818183,11
3646,2019-01-14,First-Year Japanese: Second Semester,89.28571428571429,56
3647,2019-01-14,First-Year Korean: First Semester,80.0,15
3648,2019-01-14,First-Year Korean: Second Semester,96.55172413793103,29
3649,2019-01-14,First-Year Russian I,83.33333333333334,12
3650,2019-01-14,First-Year Russian II,93.33333333333333,30
3651,2019-01-14,Fixed Income Securities,100.0,72
3652,2019-01-14,Flexibility,0.0,1
3653,2019-01-14,Fluid Flow,88.23529411764706,51
3654,2019-01-14,Fluid Mechanics,96.34146341463415,82
3655,2019-01-14,Food and Your College Experience,96.29629629629629,108
3656,2019-01-14,Food in America,95.1048951048951,143
3657,2019-01-14,"Food, Drink, and Culture",100.0,24
3658,2019-01-14,Foreign Language Education Practicum II,100.0,6
3659,2019-01-14,"Foun of Health, Wellness, and Disease",100.0,97
3660,2019-01-14,Foundations Critical Cultural Competence,86.4406779661017,59
3661,2019-01-14,"Foundations Learning, Memory & Cognition",100.0,17
3662,2019-01-14,Foundations for Critical Thinking I,100.0,1
3663,2019-01-14,Foundations in Entrepreneurship,96.29629629629629,351
3664,2019-01-14,Foundations in Sociolinguistics,93.75,16
3665,2019-01-14,Foundations in Strategy,98.56459330143541,209
3666,2019-01-14,Foundations of Analysis,100.0,9
3667,2019-01-14,Foundations of Biology,91.50485436893204,412
3668,2019-01-14,Foundations of Creative Writing,98.30508474576271,118
3669,2019-01-14,Foundations of Education,99.4413407821229,179
3670,2019-01-14,Foundations of Event Management,97.91666666666666,144
3671,2019-01-14,Foundations of GIS,94.02985074626866,67
3672,2019-01-14,Foundations of Geometry,94.11764705882352,17
3673,2019-01-14,Foundations of International Law,100.0,57
3674,2019-01-14,Foundations of Leadership,100.0,34
3675,2019-01-14,Foundations of Organizational Theorizing,100.0,5
3676,2019-01-14,Foundations of Palliative Care,0.0,1
3677,2019-01-14,Foundations of Pharm Sciences III,87.36842105263159,95
3678,2019-01-14,Foundations of Pharm Sciences IV,93.81443298969072,97
3679,2019-01-14,Foundations of Pharmacy Practice II,100.0,97
3680,2019-01-14,Foundations of School Administration,100.0,13
3681,2019-01-14,Foundations of Sonography,100.0,13
3682,2019-01-14,Foundations of Sonography Lab,100.0,13
3683,2019-01-14,Foundations of Special Education,100.0,133
3684,2019-01-14,Foundations of Strategic Communication,100.0,13
3685,2019-01-14,Foundations of Tactical Ldrship MSL202,100.0,22
3686,2019-01-14,Foundations of the English Major,90.64748201438849,139
3687,2019-01-14,Foundations of the U.S. Air Force II,100.0,16
3688,2019-01-14,Fourth-Year Chinese: Second Semester,100.0,7
3689,2019-01-14,Fourth-Year Japanese II,100.0,14
3690,2019-01-14,Fourth-Year Russian II,100.0,9
3691,2019-01-14,France from 1815 to the Present,90.9090909090909,22
3692,2019-01-14,Francophone Thought,100.0,12
3693,2019-01-14,Freedom of Expression,99.11504424778761,113
3694,2019-01-14,French Cinema,100.0,25
3695,2019-01-14,French Civilization,100.0,10
3696,2019-01-14,French Grammar,96.42857142857143,28
3697,2019-01-14,French Paleography,100.0,1
3698,2019-01-14,From Cave Paintings to Cathedrals,88.73239436619718,71
3699,2019-01-14,Functional Neuroanatomy,100.0,59
3700,2019-01-14,Fundamental Genetics,90.38461538461539,104
3701,2019-01-14,Fundamental Properties Spaces/Funct  I,93.65079365079364,63
3702,2019-01-14,Fundamentals Second Language Assessment,100.0,4
3703,2019-01-14,Fundamentals for the MRI Technologist,100.0,6
3704,2019-01-14,Fundamentals in PH Emerg Prepared & Resp,100.0,34
3705,2019-01-14,Fundamentals of Chemical Measurements,100.0,15
3706,2019-01-14,Fundamentals of Human Physiology,81.36645962732919,322
3707,2019-01-14,Fundamentals of Lab Instrumentation,100.0,9
3708,2019-01-14,Fundamentals of Music for Non-Majors,100.0,15
3709,2019-01-14,Fundamentals of Oral Radiology,100.0,81
3710,2019-01-14,Fundamentals of Piano Technology,100.0,8
3711,2019-01-14,Fundamentals of Public Health,97.51552795031056,161
3712,2019-01-14,Fundamentals of Software Engineering,100.0,32
3713,2019-01-14,Fundamentals of Vibrations,100.0,7
3714,2019-01-14,Fundraising Fundamentals,96.55172413793103,29
3715,2019-01-14,Furniture Design II,100.0,13
3716,2019-01-14,Futures and Options,100.0,41
3717,2019-01-14,Game Theory,95.0,20
3718,2019-01-14,Garage Band: The Basics,100.0,36
3719,2019-01-14,Gen Peds COC Outpatient,0.0,4
3720,2019-01-14,Gender and Mass Media,100.0,15
3721,2019-01-14,Gender and Society,89.39393939393939,132
3722,2019-01-14,"Gender, Communication, and Culture",89.83050847457628,59
3723,2019-01-14,"Gender, Sexuality, and Media",90.0,50
3724,2019-01-14,"Gender, Sexuality, and Space",82.6086956521739,23
3725,2019-01-14,"Gender, Wmn's, & Sexuality Std Practicum",100.0,4
3726,2019-01-14,Gender/Religion in Korean Visual Culture,83.33333333333334,6
3727,2019-01-14,Gendering India,81.81818181818183,11
3728,2019-01-14,Genealogies of Religion,100.0,5
3729,2019-01-14,General Chemistry I,84.44444444444444,225
3730,2019-01-14,General Chemistry II,97.2560975609756,328
3731,2019-01-14,General Histology for Dental Students,100.0,82
3732,2019-01-14,"General Medicine Consult Service, IMMC",0.0,4
3733,2019-01-14,General Microbiology,95.04950495049505,101
3734,2019-01-14,General Microbiology Laboratory,94.11764705882352,68
3735,2019-01-14,General Relativity and Cosmology,100.0,9
3736,2019-01-14,"General Surgery, Des Moines, IA",0.0,2
3737,2019-01-14,Genes and Development,100.0,19
3738,2019-01-14,Genetics and Biotechnology Lab,97.05882352941177,34
3739,2019-01-14,Genetics and the Law,100.0,8
3740,2019-01-14,Genomics,95.1219512195122,41
3741,2019-01-14,Geographic Information Systems & Science,90.9090909090909,11
3742,2019-01-14,Geometry and Measurement,100.0,30
3743,2019-01-14,Geriatric Care,100.0,6
3744,2019-01-14,Geriatric Dental Case Study Seminar II,100.0,2
3745,2019-01-14,Geriatrics Elective,0.0,5
3746,2019-01-14,German Film,80.0,10
3747,2019-01-14,German Reading for Graduate Students,100.0,7
3748,2019-01-14,Gerontological Nursing,100.0,63
3749,2019-01-14,Glacial and Pleistocene Geology,100.0,5
3750,2019-01-14,Global Aging,97.05882352941177,68
3751,2019-01-14,Global Business Management,100.0,19
3752,2019-01-14,Global Criminology,94.8051948051948,77
3753,2019-01-14,Global Development,100.0,24
3754,2019-01-14,Global Economics and Business,90.47619047619048,63
3755,2019-01-14,Global Environmental Health,97.5609756097561,41
3756,2019-01-14,Global Health Clerkship,0.0,15
3757,2019-01-14,Global Manuscript Cultures,92.85714285714286,14
3758,2019-01-14,Global Media Studies,84.0,25
3759,2019-01-14,Global Migration,95.23809523809523,21
3760,2019-01-14,Global Nutrition Policy,100.0,17
3761,2019-01-14,Global Public Health,96.29629629629629,54
3762,2019-01-14,Global Reproduction,100.0,24
3763,2019-01-14,Global Road Safety,100.0,10
3764,2019-01-14,Global Sports and National Cultures,97.1291866028708,209
3765,2019-01-14,Global Stratigraphy,100.0,10
3766,2019-01-14,Global Water and Health,100.0,10
3767,2019-01-14,Globalization,96.0,25
3768,2019-01-14,Globalization and Geographic Diversity,96.47058823529412,85
3769,2019-01-14,Golden Age of Roman Poetry,100.0,32
3770,2019-01-14,Good Genes Gone Bad,88.88888888888889,81
3771,2019-01-14,Grad Modern Dance Technique Practicum,100.0,1
3772,2019-01-14,Grad Research Conference Presentation,100.0,7
3773,2019-01-14,Grad Secondary Performance-Composition,100.0,2
3774,2019-01-14,Graduate Bacteria and Human Disease,100.0,30
3775,2019-01-14,Graduate Book Arts Workshop,100.0,11
3776,2019-01-14,Graduate Choreography IV,100.0,4
3777,2019-01-14,Graduate Contemporary IV,100.0,6
3778,2019-01-14,Graduate Diction,100.0,6
3779,2019-01-14,Graduate Drawing and Painting Workshop,100.0,18
3780,2019-01-14,Graduate Immunology,100.0,11
3781,2019-01-14,Graduate Independent Choreography,100.0,8
3782,2019-01-14,Graduate Independent Study,100.0,3
3783,2019-01-14,Graduate Majors Ballet II,100.0,1
3784,2019-01-14,Graduate Majors Ballet III,100.0,2
3785,2019-01-14,Graduate Majors Modern III,100.0,3
3786,2019-01-14,Graduate Music Therapy Practicum,100.0,5
3787,2019-01-14,Graduate Photography Workshop,100.0,7
3788,2019-01-14,Graduate Print Workshop,100.0,12
3789,2019-01-14,Graduate Project in Creative Writing,100.0,2
3790,2019-01-14,Graduate Sculpture Workshop,100.0,13
3791,2019-01-14,Graduate Secondary Performance-Bass,100.0,2
3792,2019-01-14,Graduate Secondary Performance-Cello,100.0,1
3793,2019-01-14,Graduate Secondary Performance-Oboe,100.0,2
3794,2019-01-14,Graduate Secondary Performance-Organ,100.0,2
3795,2019-01-14,Graduate Secondary Performance-Piano,100.0,1
3796,2019-01-14,Graduate Secondary Performance-Viola,100.0,2
3797,2019-01-14,Graduate Secondary Performance-Violin,100.0,5
3798,2019-01-14,Graduate Secondary Performance-Voice,100.0,7
3799,2019-01-14,Graduate Seminar in Dance,100.0,11
3800,2019-01-14,Graphic Design,100.0,19
3801,2019-01-14,Graphic Design I,100.0,54
3802,2019-01-14,Graphic Design II,100.0,25
3803,2019-01-14,Graphic Design III,94.73684210526315,19
3804,2019-01-14,Graphic Design IV,100.0,14
3805,2019-01-14,Graphic Design VI,100.0,14
3806,2019-01-14,Graphic Design VII,100.0,9
3807,2019-01-14,Graphic Design VIII,100.0,4
3808,2019-01-14,Graphic Design and Identity,100.0,12
3809,2019-01-14,Greek Archaeology and Ethnohistory,88.88888888888889,54
3810,2019-01-14,Greek Composition,100.0,5
3811,2019-01-14,Green Chemical and Energy Technologies,100.0,23
3812,2019-01-14,Group Communication,100.0,30
3813,2019-01-14,Group Instruction in Piano I,100.0,8
3814,2019-01-14,Group Instruction in Piano II,100.0,50
3815,2019-01-14,Group Instruction in Piano III,100.0,4
3816,2019-01-14,Group Piano I: Non-Music Majors,98.57142857142858,70
3817,2019-01-14,Group Piano II: Non-Music Majors,100.0,8
3818,2019-01-14,Growth Factor Receptor Signaling,100.0,15
3819,2019-01-14,Growth Management,100.0,14
3820,2019-01-14,Grph Algrthms & Combinatorial Optimizatn,95.0,40
3821,2019-01-14,Guided Capstone Portfolio,100.0,19
3822,2019-01-14,Gynecologic Oncology Sub-Internship,0.0,4
3823,2019-01-14,Hand-Built Bicycle II,100.0,3
3824,2019-01-14,Hard Cases in Healthcare/End of Life,94.33962264150944,53
3825,2019-01-14,Hatha Yoga,0.0,4
3826,2019-01-14,Hatha Yoga II: Intermediate Hatha Yoga,0.0,1
3827,2019-01-14,Head and Neck Radiology,100.0,2
3828,2019-01-14,Health Assmnt Communictn Across Lifespan,100.0,72
3829,2019-01-14,Health Behavior and Health Promotion,96.42857142857143,56
3830,2019-01-14,Health Care and Health Reforms in Russia,100.0,8
3831,2019-01-14,Health Communication & Coaching,100.0,57
3832,2019-01-14,Health Data Analytics,92.85714285714286,28
3833,2019-01-14,Health Economics,100.0,29
3834,2019-01-14,Health Economics I,97.36842105263158,38
3835,2019-01-14,Health Equity and Social Justice,100.0,12
3836,2019-01-14,Health Informatics Essentials,100.0,5
3837,2019-01-14,Health Informatics I,100.0,17
3838,2019-01-14,Health Management and Administration,95.55555555555556,45
3839,2019-01-14,Health Policy,94.11764705882352,17
3840,2019-01-14,Health Policy Analysis,91.66666666666666,12
3841,2019-01-14,Health Promotion Assessment for CNL,100.0,5
3842,2019-01-14,Health Psychology,100.0,41
3843,2019-01-14,Health Services,87.17948717948718,78
3844,2019-01-14,Health Services Research,100.0,1
3845,2019-01-14,Health Services Research Seminar,100.0,4
3846,2019-01-14,"Health, Work, and the Environment",98.73417721518987,79
3847,2019-01-14,Healthcare Finance,99.25093632958801,267
3848,2019-01-14,Healthcare Financial Management,100.0,25
3849,2019-01-14,Healthcare Quality Management,100.0,24
3850,2019-01-14,Heat Transfer,93.93939393939394,99
3851,2019-01-14,Helping Skills in Student Affairs Work,100.0,11
3852,2019-01-14,Hematology Oncology,0.0,8
3853,2019-01-14,Hematopathology Clerkship,0.0,3
3854,2019-01-14,High Intensity Interval Training,0.0,1
3855,2019-01-14,High Performance Computer Architecture,100.0,10
3856,2019-01-14,High Risk Antepartum Ob Sub-Internship,0.0,5
3857,2019-01-14,High-Dimensional Data Analysis,92.85714285714286,14
3858,2019-01-14,Higher Educ & Student Affairs Capstone,100.0,9
3859,2019-01-14,Hist of Regulation of Smoking & Tobacco,100.0,11
3860,2019-01-14,Histopathology,100.0,1
3861,2019-01-14,Historical Geology,100.0,11
3862,2019-01-14,History Behind the Headlines,100.0,19
3863,2019-01-14,History Honors Research Seminar,100.0,12
3864,2019-01-14,History Matters,95.57522123893806,113
3865,2019-01-14,History Research Methods,100.0,11
3866,2019-01-14,History of Design,83.33333333333334,6
3867,2019-01-14,History of Human Rights,96.66666666666667,30
3868,2019-01-14,History of Jazz,91.01123595505618,178
3869,2019-01-14,History of Mathematics,100.0,14
3870,2019-01-14,History of Music II,97.5,40
3871,2019-01-14,History of Music Theory II,100.0,3
3872,2019-01-14,History of Photography,87.5,8
3873,2019-01-14,History of Popular Music,86.79245283018868,53
3874,2019-01-14,History of Readers and Reading,100.0,5
3875,2019-01-14,History of Theatre and Drama I,82.92682926829268,41
3876,2019-01-14,History of Western Letterforms,100.0,9
3877,2019-01-14,History of the American Deaf Community,93.33333333333333,15
3878,2019-01-14,History of the German Language,71.42857142857143,7
3879,2019-01-14,History of the Teaching Profession,100.0,7
3880,2019-01-14,Hlth Promotion Assmnt Adv Clin Practice,100.0,37
3881,2019-01-14,Home/School/Community Partnerships,100.0,24
3882,2019-01-14,Honors Essay,100.0,2
3883,2019-01-14,Honors Independent Study,100.0,6
3884,2019-01-14,Honors Internship,100.0,4
3885,2019-01-14,Honors Policy Research Practicum,100.0,9
3886,2019-01-14,Honors Problems,100.0,1
3887,2019-01-14,Honors Project,100.0,10
3888,2019-01-14,Honors Project II,100.0,4
3889,2019-01-14,Honors Project in Dance,100.0,2
3890,2019-01-14,Honors Readings,100.0,1
3891,2019-01-14,Honors Research,100.0,10
3892,2019-01-14,Honors Research I,100.0,2
3893,2019-01-14,Honors Research II,100.0,16
3894,2019-01-14,Honors Research Practicum,100.0,30
3895,2019-01-14,Honors Research Project,100.0,5
3896,2019-01-14,Honors Research and Thesis,100.0,2
3897,2019-01-14,Honors Research in Art History,100.0,2
3898,2019-01-14,Honors Research in Biology,100.0,22
3899,2019-01-14,Honors Research in Neuroscience,100.0,2
3900,2019-01-14,Honors Seminar,100.0,19
3901,2019-01-14,Honors Seminar for Presidential Scholars,100.0,16
3902,2019-01-14,Honors Seminar in Biology,100.0,11
3903,2019-01-14,Honors Seminar in Education,100.0,7
