,term_begin_date,course_subject,total_enrollment
892,2020-08-24,CSD,1308
893,2020-08-24,CSI,2291
894,2020-08-24,CTS,1
895,2020-08-24,CW,1382
896,2020-08-24,DANC,1211
897,2020-08-24,DENT,206
898,2020-08-24,DERM,50
899,2020-08-24,DIET,38
900,2020-08-24,DPA,80
901,2020-08-24,DPH,33
902,2020-08-24,DRAW,41
903,2020-08-24,DSGN,164
904,2020-08-24,DST,94
905,2020-08-24,EALL,50
906,2020-08-24,ECE,1312
907,2020-08-24,ECON,3248
908,2020-08-24,EDTL,3411
909,2020-08-24,EES,2801
910,2020-08-24,EHOP,2
911,2020-08-24,EM,66
912,2020-08-24,EMTP,10
913,2020-08-24,ENDO,130
914,2020-08-24,ENGL,3518
915,2020-08-24,ENGR,3824
916,2020-08-24,ENTR,2383
917,2020-08-24,ENVS,99
918,2020-08-24,EPID,402
919,2020-08-24,EPLS,928
920,2020-08-24,ESL,323
921,2020-08-24,EVNT,208
922,2020-08-24,FAM,108
923,2020-08-24,FAMD,240
924,2020-08-24,FIN,2673
925,2020-08-24,FREN,684
926,2020-08-24,FRRB,40
927,2020-08-24,GENE,54
928,2020-08-24,GEOG,1759
929,2020-08-24,GHS,562
930,2020-08-24,GRAD,1566
931,2020-08-24,GRMN,404
932,2020-08-24,GSND,13
933,2020-08-24,GWSS,785
934,2020-08-24,HHP,4290
935,2020-08-24,HIST,2532
936,2020-08-24,HMP,503
937,2020-08-24,HONR,939
938,2020-08-24,HPAS,1055
939,2020-08-24,HRTS,91
940,2020-08-24,IBA,43
941,2020-08-24,IGPI,12
942,2020-08-24,IIEP,147
943,2020-08-24,IM,350
944,2020-08-24,IMMU,73
945,2020-08-24,INTD,1
946,2020-08-24,INTL,4
947,2020-08-24,INTM,26
948,2020-08-24,IS,268
949,2020-08-24,ISE,452
950,2020-08-24,ITAL,337
951,2020-08-24,IWP,39
952,2020-08-24,JMC,2670
953,2020-08-24,JPNS,265
954,2020-08-24,KORE,100
955,2020-08-24,LAS,31
956,2020-08-24,LATH,14
957,2020-08-24,LATS,113
958,2020-08-24,LAW,2569
959,2020-08-24,LING,539
960,2020-08-24,LLS,770
961,2020-08-24,LS,543
962,2020-08-24,MATH,9068
963,2020-08-24,MBA,1586
964,2020-08-24,ME,1459
965,2020-08-24,MED,1956
966,2020-08-24,MGMT,3337
967,2020-08-24,MICR,519
968,2020-08-24,MILS,137
969,2020-08-24,MKTG,2551
970,2020-08-24,MMED,118
971,2020-08-24,MPB,103
972,2020-08-24,MSTP,75
973,2020-08-24,MTLS,35
974,2020-08-24,MUS,3533
975,2020-08-24,MUSM,134
976,2020-08-24,NEUR,96
977,2020-08-24,NSCI,115
978,2020-08-24,NSG,3
979,2020-08-24,NURS,3034
980,2020-08-24,OBG,124
981,2020-08-24,OEH,251
982,2020-08-24,OMFS,136
983,2020-08-24,OPER,366
984,2020-08-24,OPHT,40
985,2020-08-24,OPRM,623
986,2020-08-24,ORDN,161
987,2020-08-24,ORSC,78
988,2020-08-24,ORTH,87
989,2020-08-24,OTO,37
990,2020-08-24,OTP,4
991,2020-08-24,PA,167
992,2020-08-24,PATH,339
993,2020-08-24,PCD,742
994,2020-08-24,PCOL,123
995,2020-08-24,PEDO,110
996,2020-08-24,PEDS,155
997,2020-08-24,PERF,34
998,2020-08-24,PERI,287
999,2020-08-24,PHAR,3023
1000,2020-08-24,PHIL,2925
1001,2020-08-24,PHTO,82
1002,2020-08-24,PHYS,2989
1003,2020-08-24,PNTG,56
1004,2020-08-24,POLI,3788
1005,2020-08-24,PORT,55
1006,2020-08-24,PRNT,105
1007,2020-08-24,PROS,607
1008,2020-08-24,PSQF,1241
1009,2020-08-24,PSY,7567
1010,2020-08-24,PSYC,113
1011,2020-08-24,PTRS,869
1012,2020-08-24,RAD,85
1013,2020-08-24,RADO,3
1014,2020-08-24,RCE,1740
1015,2020-08-24,REA,295
1016,2020-08-24,RELS,1067
1017,2020-08-24,RHET,2961
1018,2020-08-24,RSCI,28
1019,2020-08-24,RSCT,35
1020,2020-08-24,RSMR,21
1021,2020-08-24,RSMS,144
1022,2020-08-24,RSNM,33
1023,2020-08-24,RSP,215
1024,2020-08-24,RSRT,84
1025,2020-08-24,RSTH,39
1026,2020-08-24,RUSS,322
1027,2020-08-24,SCLP,71
1028,2020-08-24,SIED,39
1029,2020-08-24,SJUS,180
1030,2020-08-24,SLA,6
1031,2020-08-24,SLIS,195
1032,2020-08-24,SOAS,8
1033,2020-08-24,SOC,3081
1034,2020-08-24,SPAN,1980
1035,2020-08-24,SPST,847
1036,2020-08-24,SRM,2320
1037,2020-08-24,SSW,1627
1038,2020-08-24,STAT,3404
1039,2020-08-24,SURG,111
1040,2020-08-24,SWAH,199
1041,2020-08-24,TAPE,100
1042,2020-08-24,TBM,22
1043,2020-08-24,TDSN,85
1044,2020-08-24,THTR,1106
1045,2020-08-24,TOX,48
1046,2020-08-24,TR,629
1047,2020-08-24,TRNS,70
1048,2020-08-24,UICB,130
1049,2020-08-24,URES,263
1050,2020-08-24,URO,37
1051,2020-08-24,URP,223
1052,2020-08-24,WLLC,76
1053,2020-08-24,WRIT,243
